row,check_number,session_start
204,6335,21:00:00
205,7429,21:00:00
206,8269,22:15:00
207,7527,15:30:00
208,8811,07:30:00
209,978,21:00:00
210,483,22:15:00
211,4350,14:00:00
212,5053,06:00:00
213,7065,15:00:00
214,1554,21:00:00
215,9492,14:00:00
216,4197,08:42:00
217,4329,22:30:00
218,147,08:42:00
219,5906,08:42:00
220,8621,14:00:00
221,5233,15:30:00
222,6142,06:00:00
223,8950,14:00:00
224,321,15:34:00
225,5204,15:00:00
226,6331,06:15:00
227,8871,23:42:00
228,4508,15:34:00
229,3468,21:00:00
230,3897,07:00:00
231,4662,07:00:00
232,1235,22:30:00
233,6953,21:00:00
234,5992,21:00:00
235,6258,22:30:00
236,3306,08:42:00
237,3370,22:30:00
238,7231,23:42:00
239,6713,21:00:00
240,952,15:34:00
241,141,15:00:00
242,9410,15:34:00
243,2288,15:34:00
244,1843,07:00:00
245,7635,08:42:00
246,7656,15:00:00
247,2748,08:42:00
248,4875,15:30:00
249,6880,06:15:00
250,8295,15:00:00
251,1844,15:34:00
252,2788,06:00:00
253,7433,14:00:00
254,4899,22:15:00
255,6354,22:15:00
256,2372,14:15:00
257,4099,15:30:00
258,4043,06:00:00
259,5410,15:34:00
260,4887,06:00:00
261,762,07:00:00
262,2693,21:00:00
263,833,14:00:00
264,965,15:30:00
265,697,22:30:00
266,3189,15:30:00
267,8951,07:00:00
268,2004,15:34:00
269,993,21:00:00
270,7198,22:15:00
271,9227,08:42:00
272,9174,22:15:00
273,3550,14:00:00
274,6066,07:00:00
275,6270,21:00:00
276,5095,15:30:00
277,9318,06:15:00
278,8490,15:34:00
279,4621,14:00:00
280,4475,07:30:00
281,2366,06:00:00
282,9536,14:15:00
283,9966,07:00:00
284,3623,22:30:00
285,9531,22:15:00
286,7168,15:30:00
287,1121,23:42:00
288,8296,22:15:00
289,9672,21:00:00
290,4288,07:00:00
291,4860,06:00:00
292,6371,22:15:00
293,9638,06:15:00
294,9183,14:15:00
295,9937,14:00:00
296,1517,15:34:00
297,8835,21:00:00
298,6707,23:42:00
299,457,06:15:00
300,8483,21:00:00
301,7922,14:00:00
302,3871,21:00:00
303,8066,22:15:00
304,1879,21:00:00
305,3191,08:42:00
306,9420,22:30:00
307,3127,14:15:00
308,1009,22:15:00
309,6121,21:00:00
310,7223,06:15:00
311,2870,22:15:00
312,1847,23:42:00
313,6585,07:30:00
314,5956,22:15:00
315,6529,15:00:00
316,8659,14:15:00
317,6428,14:15:00
318,8812,23:42:00
319,6961,06:15:00
320,9442,14:00:00
321,702,06:15:00
322,7573,22:15:00
323,4553,07:00:00
324,1603,21:00:00
325,4349,06:00:00
326,672,14:15:00
327,9608,06:00:00
328,396,22:30:00
329,315,06:00:00
330,5664,14:00:00
331,1544,15:34:00
332,8501,23:42:00
333,2849,07:00:00
334,7851,15:34:00
335,1776,06:15:00
336,8771,07:30:00
337,7633,22:15:00
338,8600,23:42:00
339,9143,23:42:00
340,7770,23:42:00
341,7157,15:34:00
342,2095,22:15:00
343,9242,15:34:00
344,2853,21:00:00
345,1904,14:15:00
346,4698,15:34:00
347,1960,22:15:00
348,3261,21:00:00
349,7377,07:30:00
350,2576,21:00:00
351,7826,08:42:00
352,4725,21:00:00
353,9587,21:00:00
354,9734,07:00:00
355,4067,15:00:00
356,2380,22:15:00
357,5805,23:42:00
358,2194,21:00:00
359,2808,14:15:00
360,5382,15:34:00
361,4959,22:30:00
362,9798,21:00:00
363,1833,08:42:00
364,1186,22:30:00
365,8309,08:42:00
366,1116,08:42:00
367,3792,06:15:00
368,1738,15:34:00
369,7634,22:15:00
370,4128,15:34:00
371,504,08:42:00
372,2943,07:00:00
373,6441,08:42:00
374,7462,21:00:00
375,3485,23:42:00
376,4415,06:15:00
377,8973,21:00:00
378,6176,07:30:00
379,9387,14:15:00
380,6071,22:30:00
381,6975,06:15:00
382,2874,22:30:00
383,191,15:34:00
384,9539,21:00:00
385,3629,21:00:00
386,1264,22:15:00
387,2790,08:42:00
388,1373,07:30:00
389,623,14:15:00
390,3084,07:00:00
391,2636,07:00:00
392,5511,06:00:00
393,5205,14:15:00
394,316,07:30:00
395,9097,07:00:00
396,713,21:00:00
397,1866,14:15:00
398,302,22:15:00
399,521,15:30:00
400,9449,15:34:00
401,1646,15:00:00
402,1969,06:15:00
403,8742,15:34:00
404,9693,14:15:00
405,7130,15:30:00
406,7186,06:00:00
407,2149,23:42:00
408,2951,21:00:00
409,6820,23:42:00
410,208,21:00:00
411,5894,07:00:00
412,2157,15:30:00
413,8931,22:15:00
414,148,21:00:00
415,7290,22:15:00
416,7755,15:34:00
417,264,23:42:00
418,6216,15:34:00
419,6899,22:15:00
420,989,21:00:00
421,7917,22:30:00
422,166,15:34:00
423,1691,21:00:00
424,8541,22:30:00
425,2995,06:15:00
426,7021,15:00:00
427,2855,08:42:00
428,5760,22:30:00
429,103,21:00:00
430,2461,07:30:00
431,5279,21:00:00
432,5213,23:42:00
433,1095,08:42:00
434,6285,14:15:00
435,3847,14:15:00
436,6206,14:00:00
437,4428,15:30:00
438,5775,22:15:00
439,1205,22:30:00
440,2264,22:15:00
441,9080,21:00:00
442,1913,14:00:00
443,9563,15:00:00
444,6568,21:00:00
445,9037,14:15:00
446,661,15:00:00
447,6144,22:15:00
448,3529,06:00:00
449,2881,22:15:00
450,6339,21:00:00
451,8061,06:15:00
452,5038,14:00:00
453,7333,07:00:00
454,3276,06:15:00
455,7607,15:34:00
456,5677,15:30:00
457,5020,07:30:00
458,7241,07:30:00
459,9834,21:00:00
460,1286,15:34:00
461,3966,06:15:00
462,6524,22:30:00
463,1610,07:00:00
464,7404,14:00:00
465,6127,07:30:00
466,4763,15:34:00
467,5814,07:30:00
468,2075,23:42:00
469,1443,15:00:00
470,3650,22:30:00
471,2012,22:15:00
472,248,08:42:00
473,731,15:00:00
474,63,06:15:00
475,729,22:30:00
476,4741,07:00:00
477,6612,23:42:00
478,6364,15:00:00
479,534,14:00:00
480,8045,07:00:00
481,9851,21:00:00
482,3707,15:00:00
483,889,15:30:00
484,8150,15:00:00
485,7731,07:00:00
486,3206,15:00:00
487,3906,22:15:00
488,1227,21:00:00
489,1508,22:30:00
490,3581,14:15:00
491,7591,22:15:00
492,388,22:15:00
493,9783,14:15:00
494,1482,15:00:00
495,362,07:30:00
496,6939,06:00:00
497,4258,06:00:00
498,5619,21:00:00
499,5572,06:15:00
500,2391,22:30:00
501,6211,14:00:00
502,1211,15:00:00
503,5726,14:15:00
504,2369,15:00:00
505,5818,15:30:00
506,9578,23:42:00
507,4262,23:42:00
508,9939,21:00:00
509,8624,07:30:00
510,3077,14:15:00
511,5016,22:15:00
512,4726,23:42:00
513,1709,22:15:00
514,1760,06:15:00
515,928,08:42:00
516,8275,08:42:00
517,1647,08:42:00
518,5254,08:42:00
519,358,07:30:00
520,4538,21:00:00
521,529,15:30:00
522,1976,14:15:00
523,2359,15:00:00
524,751,15:34:00
525,5870,21:00:00
526,931,15:30:00
527,1153,23:42:00
528,827,07:00:00
529,8657,22:30:00
530,3565,15:00:00
531,9921,21:00:00
532,5990,06:00:00
533,2866,22:30:00
534,4158,21:00:00
535,8913,07:30:00
536,7476,23:42:00
537,9250,22:15:00
538,3727,23:42:00
539,3156,21:00:00
540,9195,15:00:00
541,4355,15:00:00
542,736,08:42:00
543,3803,07:30:00
544,2206,22:30:00
545,6173,06:15:00
546,2102,21:00:00
547,3987,08:42:00
548,2365,22:30:00
549,4495,14:00:00
550,3384,06:15:00
551,6750,07:00:00
552,4331,21:00:00
553,3858,06:15:00
554,825,07:00:00
555,6470,07:00:00
556,545,06:00:00
557,2032,21:00:00
558,3455,22:30:00
559,8814,23:42:00
560,3494,15:30:00
561,2933,22:30:00
562,8129,06:00:00
563,2044,23:42:00
564,1679,22:30:00
565,6497,21:00:00
566,3433,23:42:00
567,5605,15:34:00
568,5375,07:00:00
569,6155,14:00:00
570,3626,21:00:00
571,8247,22:15:00
572,1902,06:15:00
573,7624,23:42:00
574,4667,06:00:00
575,5577,15:00:00
576,1258,23:42:00
577,7819,22:30:00
578,4692,23:42:00
579,8618,15:34:00
580,7557,15:30:00
581,3462,06:00:00
582,70,23:42:00
583,2948,06:15:00
584,4836,07:00:00
585,9261,08:42:00
586,3646,22:15:00
587,3515,07:00:00
588,9847,21:00:00
589,4653,21:00:00
590,1181,14:15:00
591,3655,06:00:00
592,9039,22:15:00
593,8660,15:34:00
594,145,06:00:00
595,9600,23:42:00
596,8994,07:00:00
597,1875,15:34:00
598,7732,07:30:00
599,2124,06:00:00
600,4373,15:00:00
601,7255,22:15:00
602,5589,08:42:00
603,8035,15:00:00
604,2240,21:00:00
605,8759,22:30:00
606,8347,22:15:00
607,9454,06:15:00
608,8532,22:15:00
609,3059,06:00:00
610,2509,22:30:00
611,8205,21:00:00
612,1789,14:00:00
613,9129,08:42:00
614,2347,08:42:00
615,4176,14:15:00
616,9369,08:42:00
617,6660,22:15:00
618,2445,07:30:00
619,1968,14:00:00
620,7336,22:15:00
621,7848,22:30:00
622,6943,22:15:00
623,2209,15:34:00
624,7459,08:42:00
625,8789,22:15:00
626,3464,21:00:00
627,6905,22:30:00
628,727,21:00:00
629,1944,21:00:00
630,6393,15:30:00
631,67,15:30:00
632,3835,07:00:00
633,7933,08:42:00
634,2545,14:15:00
635,5036,06:00:00
636,1456,15:34:00
637,8256,07:30:00
638,761,07:00:00
639,8008,06:00:00
640,9503,21:00:00
641,2351,23:42:00
642,9211,22:30:00
643,922,08:42:00
644,4780,07:00:00
645,9553,14:00:00
646,8528,15:30:00
647,5471,06:00:00
648,439,14:15:00
649,6795,23:42:00
650,455,15:00:00
651,3912,07:00:00
652,1613,06:00:00
653,6148,22:30:00
654,4266,14:00:00
655,3923,07:30:00
656,4968,21:00:00
657,1343,15:34:00
658,52,15:00:00
659,5884,15:00:00
660,6450,22:15:00
661,5526,15:00:00
662,2740,07:00:00
663,9329,22:30:00
664,4529,07:30:00
665,8110,15:30:00
666,6161,15:00:00
667,6861,06:15:00
668,5695,21:00:00
669,2633,15:34:00
670,1001,06:00:00
671,7655,07:30:00
672,7334,15:30:00
673,6732,08:42:00
674,3007,21:00:00
675,7423,14:00:00
676,40,15:00:00
677,9613,21:00:00
678,6647,23:42:00
679,3554,21:00:00
680,8828,15:00:00
681,8817,14:15:00
682,5170,14:00:00
683,5771,15:30:00
684,3396,06:15:00
685,2185,22:30:00
686,6530,21:00:00
687,9786,08:42:00
688,7468,15:30:00
689,4588,21:00:00
690,6333,07:30:00
691,6632,22:15:00
692,9140,23:42:00
693,5523,08:42:00
694,3795,21:00:00
695,6433,06:15:00
696,4386,22:15:00
697,8693,21:00:00
698,1173,06:15:00
699,9316,22:15:00
700,5319,06:15:00
701,8928,07:30:00
702,5100,14:00:00
703,6954,22:30:00
704,6739,06:00:00
705,1349,22:15:00
706,9841,07:30:00
707,7754,14:15:00
708,7233,07:30:00
709,898,15:00:00
710,9393,07:00:00
711,7315,08:42:00
712,2229,06:00:00
713,5099,22:15:00
714,9101,06:00:00
715,4398,08:42:00
716,3126,21:00:00
717,9244,07:00:00
718,940,21:00:00
719,4292,21:00:00
720,872,06:15:00
721,9236,08:42:00
722,8752,15:34:00
723,3217,14:00:00
724,7757,15:00:00
725,283,07:30:00
726,9711,06:00:00
727,7873,15:00:00
728,5250,21:00:00
729,305,14:15:00
730,5879,22:30:00
731,8995,21:00:00
732,2318,07:00:00
733,3444,08:42:00
734,3819,15:00:00
735,6300,08:42:00
736,33,21:00:00
737,8714,06:00:00
738,4368,14:15:00
739,3627,15:00:00
740,4365,22:15:00
741,6952,07:30:00
742,2342,22:30:00
743,7620,15:00:00
744,2775,07:00:00
745,5878,15:34:00
746,1717,15:34:00
747,7314,15:34:00
748,7875,07:00:00
749,5847,14:15:00
750,8117,22:15:00
751,9916,14:15:00
752,1553,06:15:00
753,8633,08:42:00
754,9994,22:30:00
755,2450,21:00:00
756,1675,22:15:00
757,8609,15:34:00
758,8583,14:00:00
759,8288,06:15:00
760,5527,22:15:00
761,4215,21:00:00
762,1608,06:15:00
763,8145,15:30:00
764,6125,23:42:00
765,2637,21:00:00
766,8758,21:00:00
767,8209,15:34:00
768,4762,14:15:00
769,1604,06:15:00
770,1808,08:42:00
771,6374,22:30:00
772,5315,21:00:00
773,1588,21:00:00
774,5642,08:42:00
775,8068,22:30:00
776,1199,07:00:00
777,766,15:34:00
778,8413,14:00:00
779,6509,07:30:00
780,4160,22:30:00
781,2413,07:30:00
782,4489,15:00:00
783,6911,14:00:00
784,1989,14:00:00
785,7701,23:42:00
786,3825,21:00:00
787,5346,23:42:00
788,8469,23:42:00
789,4526,14:00:00
790,6402,15:00:00
791,3676,15:34:00
792,9703,06:15:00
793,2103,21:00:00
794,9815,15:30:00
795,6030,15:30:00
796,8901,15:00:00
797,2393,06:00:00
798,2345,07:00:00
799,730,22:15:00
800,4241,14:15:00
801,5012,21:00:00
802,7704,06:15:00
803,7547,22:30:00
804,2283,23:42:00
805,386,14:00:00
806,2716,22:30:00
807,8119,21:00:00
808,5910,14:00:00
809,175,15:30:00
810,5718,06:00:00
811,5362,21:00:00
812,5547,14:15:00
813,357,07:00:00
814,8179,14:15:00
815,5028,07:30:00
816,2586,21:00:00
817,9702,15:30:00
818,93,07:30:00
819,306,14:15:00
820,68,15:34:00
821,349,23:42:00
822,7061,15:34:00
823,4178,06:15:00
824,3931,14:00:00
825,8003,14:15:00
826,5446,14:00:00
827,4125,06:15:00
828,3251,23:42:00
829,3814,15:30:00
830,2872,07:30:00
831,5717,07:00:00
832,427,22:30:00
833,8637,06:00:00
834,3491,07:00:00
835,6396,22:15:00
836,9257,15:30:00
837,1713,14:00:00
838,4294,06:15:00
839,9487,21:00:00
840,6781,21:00:00
841,9907,15:30:00
842,9823,07:00:00
843,2467,06:15:00
844,507,22:15:00
845,3690,23:42:00
846,8484,21:00:00
847,8829,15:34:00
848,4476,23:42:00
849,4041,15:34:00
850,3487,14:15:00
851,5025,23:42:00
852,94,07:30:00
853,4678,15:34:00
854,4563,22:30:00
855,1361,15:00:00
856,6570,15:30:00
857,9297,08:42:00
858,3811,06:15:00
859,9635,23:42:00
860,3195,15:30:00
861,7068,21:00:00
862,9573,06:00:00
863,4227,15:30:00
864,6783,21:00:00
865,6877,23:42:00
866,5122,08:42:00
867,2507,07:30:00
868,113,06:00:00
869,8903,21:00:00
870,1839,15:30:00
871,7745,21:00:00
872,3327,15:34:00
873,6915,22:15:00
874,8865,08:42:00
875,3753,22:15:00
876,6446,21:00:00
877,3082,15:00:00
878,9993,15:00:00
879,2279,06:15:00
880,2934,15:34:00
881,7358,15:34:00
882,1437,21:00:00
883,8450,21:00:00
884,3570,15:00:00
885,633,07:00:00
886,3364,06:00:00
887,4797,23:42:00
888,227,22:15:00
889,5263,15:34:00
890,5435,15:00:00
891,319,06:00:00
892,406,08:42:00
893,448,08:42:00
894,5854,14:15:00
895,4723,07:00:00
896,6962,14:00:00
897,9640,21:00:00
898,2235,07:30:00
899,5765,21:00:00
900,7992,22:30:00
901,1158,15:30:00
902,8642,06:15:00
903,1230,14:00:00
904,5168,08:42:00
905,5372,14:15:00
906,2862,07:30:00
907,9630,07:00:00
908,1280,22:30:00
909,739,07:30:00
910,8442,06:00:00
911,9838,23:42:00
912,7316,21:00:00
913,1541,15:00:00
914,4813,14:15:00
915,5473,14:00:00
916,6931,07:30:00
917,4801,15:00:00
918,9157,14:00:00
919,8735,06:00:00
920,8741,14:00:00
921,6516,06:15:00
922,7942,15:30:00
923,909,06:15:00
924,1273,15:34:00
925,7072,15:00:00
926,6811,06:00:00
927,298,15:30:00
928,6792,15:30:00
929,1048,21:00:00
930,35,21:00:00
931,4204,21:00:00
932,8917,21:00:00
933,4926,14:00:00
934,3179,08:42:00
935,2931,15:30:00
936,3123,06:15:00
937,7472,15:30:00
938,8596,15:30:00
939,1837,15:00:00
940,7641,15:34:00
941,7005,06:00:00
942,9260,21:00:00
943,3831,06:15:00
944,4487,06:15:00
945,8318,08:42:00
946,3535,23:42:00
947,4951,06:00:00
948,7300,21:00:00
949,7708,15:34:00
950,6236,15:00:00
951,8375,07:30:00
952,323,14:15:00
953,5823,15:00:00
954,5563,14:15:00
955,7085,07:30:00
956,251,14:00:00
957,1502,07:00:00
958,4278,06:15:00
959,4208,14:00:00
960,453,14:00:00
961,3838,23:42:00
962,9335,23:42:00
963,5222,22:15:00
964,5062,21:00:00
965,6843,15:34:00
966,9290,06:00:00
967,9876,08:42:00
968,7834,08:42:00
969,1446,07:30:00
970,2997,15:00:00
971,2780,15:34:00
972,7367,07:30:00
973,8093,21:00:00
974,8331,21:00:00
975,6309,22:15:00
976,4751,15:34:00
977,6777,15:30:00
978,6319,21:00:00
979,1768,22:15:00
980,3131,14:15:00
981,9119,22:30:00
982,6970,21:00:00
983,5770,15:00:00
984,1435,21:00:00
985,6275,14:00:00
986,9333,15:00:00
987,8287,23:42:00
988,6076,14:15:00
989,3861,15:30:00
990,3555,07:00:00
991,6010,15:00:00
992,1665,14:00:00
993,1520,06:00:00
994,4719,14:00:00
995,6463,07:30:00
996,9839,21:00:00
997,2658,06:00:00
998,1271,15:00:00
999,6617,15:34:00
1000,7391,15:30:00
1001,6070,14:15:00
1002,684,23:42:00
1003,4233,08:42:00
1004,3857,15:00:00
1005,1240,06:00:00
1006,5837,07:00:00
1007,1979,08:42:00
1008,5403,21:00:00
1009,8949,07:30:00
1010,4123,06:00:00
1011,6745,08:42:00
1012,5076,21:00:00
1013,8756,14:00:00
1014,6824,08:42:00
1015,5000,22:15:00
1016,1353,15:00:00
1017,6215,14:15:00
1018,8560,15:34:00
1019,7515,22:15:00
1020,2488,15:34:00
1021,8630,21:00:00
1022,1421,15:34:00
1023,2843,22:30:00
1024,961,21:00:00
1025,860,06:15:00
1026,5599,21:00:00
1027,8883,22:30:00
1028,8579,07:00:00
1029,105,22:30:00
1030,5522,21:00:00
1031,2757,07:30:00
1032,8286,06:15:00
1033,2821,22:15:00
1034,7039,15:00:00
1035,9797,22:15:00
1036,7967,21:00:00
1037,5149,15:00:00
1038,8506,21:00:00
1039,8193,06:15:00
1040,6807,15:34:00
1041,2060,15:34:00
1042,3955,06:00:00
1043,3886,06:15:00
1044,2087,14:15:00
1045,3642,07:00:00
1046,1903,22:15:00
1047,39,15:30:00
1048,5676,21:00:00
1049,7906,07:30:00
1050,2404,15:30:00
1051,2382,06:15:00
1052,9976,15:00:00
1053,6884,07:00:00
1054,7924,22:15:00
1055,2475,06:15:00
1056,3584,08:42:00
1057,7253,07:00:00
1058,2655,15:34:00
1059,7694,15:30:00
1060,3901,15:30:00
1061,66,14:00:00
1062,735,06:15:00
1063,6234,14:00:00
1064,4053,14:15:00
1065,658,22:15:00
1066,1657,15:00:00
1067,2946,21:00:00
1068,2991,21:00:00
1069,5553,06:00:00
1070,967,22:15:00
1071,7376,15:00:00
1072,2525,22:30:00
1073,4187,22:15:00
1074,5531,15:30:00
1075,4447,14:00:00
1076,3666,07:00:00
1077,1015,14:15:00
1078,601,15:34:00
1079,4850,22:30:00
1080,628,08:42:00
1081,5260,06:15:00
1082,2371,21:00:00
1083,8418,06:15:00
1084,497,06:15:00
1085,3597,14:00:00
1086,5570,22:30:00
1087,4120,14:15:00
1088,4616,14:15:00
1089,1296,08:42:00
1090,3506,08:42:00
1091,7139,23:42:00
1092,8772,15:34:00
1093,8593,22:30:00
1094,451,07:30:00
1095,3585,08:42:00
1096,4766,06:00:00
1097,8187,15:34:00
1098,3793,07:00:00
1099,3598,07:00:00
1100,7637,14:00:00
1101,3063,14:15:00
1102,2133,22:15:00
1103,2726,07:30:00
1104,3318,07:00:00
1105,4982,14:15:00
1106,8549,21:00:00
1107,2186,21:00:00
1108,2926,14:15:00
1109,3582,21:00:00
1110,6289,23:42:00
1111,4483,15:00:00
1112,2026,06:15:00
1113,3540,22:30:00
1114,6702,06:00:00
1115,7340,08:42:00
1116,5296,06:00:00
1117,9680,14:15:00
1118,9478,22:15:00
1119,2063,15:34:00
1120,6408,15:34:00
1121,7491,06:15:00
1122,7164,15:34:00
1123,6247,07:00:00
1124,4096,23:42:00
1125,5440,06:15:00
1126,1038,22:15:00
1127,8503,06:00:00
1128,3563,06:15:00
1129,6327,07:00:00
1130,9170,22:15:00
1131,109,15:30:00
1132,5389,06:15:00
1133,3151,06:15:00
1134,3986,22:15:00
1135,9175,22:15:00
1136,4210,21:00:00
1137,6689,08:42:00
1138,7920,21:00:00
1139,7159,15:30:00
1140,299,15:34:00
1141,7965,21:00:00
1142,134,07:30:00
1143,6841,08:42:00
1144,219,15:30:00
1145,5145,22:30:00
1146,6272,15:00:00
1147,660,14:00:00
1148,9666,23:42:00
1149,1612,22:15:00
1150,7499,23:42:00
1151,5178,21:00:00
1152,9356,21:00:00
1153,2189,15:30:00
1154,1084,22:15:00
1155,4139,14:00:00
1156,3536,21:00:00
1157,5792,22:30:00
1158,7402,15:30:00
1159,987,06:00:00
1160,5861,21:00:00
1161,7887,06:00:00
1162,4802,22:30:00
1163,5802,15:34:00
1164,8246,14:15:00
1165,6232,21:00:00
1166,7206,22:15:00
1167,3781,07:30:00
1168,1849,07:30:00
1169,2330,23:42:00
1170,83,15:30:00
1171,3451,21:00:00
1172,8052,07:30:00
1173,1750,07:30:00
1174,9120,07:00:00
1175,9380,07:30:00
1176,6828,06:15:00
1177,6654,21:00:00
1178,719,22:30:00
1179,9292,08:42:00
1180,2978,07:30:00
1181,5115,06:15:00
1182,1268,14:00:00
1183,2935,15:34:00
1184,6648,15:00:00
1185,8773,21:00:00
1186,6006,07:00:00
1187,5491,07:00:00
1188,4635,07:00:00
1189,4379,15:30:00
1190,1759,15:00:00
1191,2116,21:00:00
1192,7224,08:42:00
1193,487,21:00:00
1194,4784,15:30:00
1195,2778,22:30:00
1196,3975,14:00:00
1197,4515,21:00:00
1198,5960,21:00:00
1199,4362,21:00:00
1200,2363,06:15:00
1201,5782,15:30:00
1202,3386,15:30:00
1203,6028,22:30:00
1204,9247,08:42:00
1205,4950,15:00:00
1206,327,22:15:00
1207,158,22:30:00
1208,5995,14:00:00
1209,7120,14:15:00
1210,8199,22:15:00
1211,3852,08:42:00
1212,603,14:15:00
1213,4188,14:15:00
1214,861,15:30:00
1215,7185,08:42:00
1216,9892,15:34:00
1217,7063,07:30:00
1218,8453,14:15:00
1219,9348,22:15:00
1220,6734,22:15:00
1221,9049,21:00:00
1222,4706,08:42:00
1223,5602,21:00:00
1224,2104,21:00:00
1225,9025,14:00:00
1226,9447,22:30:00
1227,8025,21:00:00
1228,6237,06:15:00
1229,1809,15:34:00
1230,2061,14:15:00
1231,5048,14:00:00
1232,3619,07:00:00
1233,3504,15:30:00
1234,7672,06:15:00
1235,2737,14:15:00
1236,4369,08:42:00
1237,884,07:00:00
1238,7330,08:42:00
1239,5596,15:34:00
1240,7915,07:00:00
1241,4717,22:15:00
1242,5974,08:42:00
1243,1405,15:30:00
1244,2089,15:00:00
1245,414,22:15:00
1246,533,06:15:00
1247,6046,23:42:00
1248,1148,06:15:00
1249,257,06:00:00
1250,461,15:00:00
1251,523,15:00:00
1252,1069,06:15:00
1253,5654,08:42:00
1254,8294,07:30:00
1255,2105,14:00:00
1256,9320,08:42:00
1257,3926,07:00:00
1258,2958,06:15:00
